Index,Campaign_ID,Company,Campaign_Type,Target_Audience,Duration,Channel_Used,Conversion_Rate,Acquisition_Cost,ROI,Location,Language,Clicks,Impressions,Engagement_Score,Customer_Segment,Date
36,624,Alpha Innovations,Social Media,All Ages,15 days,Facebook,0.11,11783.00,3.07,Miami,Spanish,836,4782,7,Foodies,9/16/2021
37,701,Alpha Innovations,Influencer,All Ages,45 days,YouTube,0.04,12443.00,3.05,New York,English,186,1782,6,Foodies,12/2/2021
38,762,Innovate Industries,Display,All Ages,30 days,Google Ads,0.07,13061.00,2.54,New York,French,452,3613,9,Foodies,2/1/2021
39,773,Alpha Innovations,Social Media,All Ages,45 days,YouTube,0.1,19156.00,5.65,Houston,English,236,3195,3,Foodies,2/12/2021
40,777,NexGen Systems,Social Media,All Ages,30 days,Website,0.11,11990.00,2.63,Miami,German,382,5589,2,Foodies,2/16/2021
41,794,Innovate Industries,Display,All Ages,60 days,Website,0.12,8877.00,2.96,Chicago,Mandarin,389,3772,8,Foodies,3/5/2021
42,795,Alpha Innovations,Search,All Ages,60 days,Facebook,0.13,10485.00,5.43,Houston,Mandarin,826,2286,6,Foodies,3/6/2021
43,815,DataTech Solutions,Search,All Ages,60 days,Email,0.09,19999.00,2.65,Los Angeles,Mandarin,718,8349,3,Foodies,3/26/2021
44,828,TechCorp,Email,All Ages,45 days,Website,0.09,6078.00,3.86,Miami,German,581,3091,7,Foodies,4/8/2021
45,910,Alpha Innovations,Social Media,All Ages,15 days,Facebook,0.02,7441.00,7.95,Los Angeles,English,115,6606,7,Foodies,6/29/2021
46,914,Alpha Innovations,Influencer,All Ages,30 days,YouTube,0.04,15949.00,5.87,Chicago,German,607,2857,3,Foodies,7/3/2021
47,925,Innovate Industries,Social Media,All Ages,60 days,YouTube,0.09,6258.00,4.01,Chicago,English,879,5281,9,Foodies,7/14/2021
48,970,DataTech Solutions,Display,All Ages,30 days,Instagram,0.04,18274.00,2.18,Miami,English,635,6238,2,Foodies,8/28/2021
49,1015,Alpha Innovations,Email,All Ages,45 days,YouTube,0.1,11895.00,7.96,Chicago,German,452,7510,9,Foodies,10/12/2021
50,1039,NexGen Systems,Email,All Ages,60 days,Facebook,0.11,6121.00,5.58,Chicago,Mandarin,913,6420,7,Foodies,11/5/2021
51,1051,TechCorp,Search,All Ages,60 days,Google Ads,0.06,16052.00,4.28,Houston,Mandarin,832,6482,3,Foodies,11/17/2021
52,1101,Innovate Industries,Influencer,All Ages,45 days,Website,0.14,18698.00,7.99,Los Angeles,Mandarin,994,8016,4,Foodies,1/6/2021
53,1124,NexGen Systems,Display,All Ages,30 days,Facebook,0.05,7215.00,5.84,Miami,Mandarin,718,6491,1,Foodies,1/29/2021
54,1139,DataTech Solutions,Email,All Ages,60 days,YouTube,0.14,14398.00,5.18,New York,French,473,7580,9,Foodies,2/13/2021
55,1182,DataTech Solutions,Influencer,All Ages,60 days,Facebook,0.06,8411.00,2.66,Houston,English,161,7493,8,Foodies,3/28/2021
56,1189,Alpha Innovations,Influencer,All Ages,60 days,Email,0.04,18227.00,4.86,Miami,Mandarin,962,5137,5,Foodies,4/4/2021
57,1190,Innovate Industries,Social Media,All Ages,45 days,Website,0.03,14614.00,2.41,Chicago,German,468,6010,9,Foodies,4/5/2021
58,1203,TechCorp,Search,All Ages,30 days,Facebook,0.01,16546.00,4.02,Los Angeles,German,757,2053,7,Foodies,4/18/2021
59,1226,NexGen Systems,Display,All Ages,15 days,Facebook,0.01,7599.00,3.31,Los Angeles,English,506,8733,9,Foodies,5/11/2021
60,1264,NexGen Systems,Display,All Ages,60 days,Google Ads,0.12,18287.00,6.53,Miami,German,157,5905,5,Foodies,6/18/2021
61,1269,NexGen Systems,Email,All Ages,60 days,Email,0.1,6252.00,6.28,Los Angeles,French,629,4581,2,Foodies,6/23/2021
62,1334,TechCorp,Email,All Ages,15 days,Instagram,0.01,11335.00,4.77,Houston,Mandarin,319,1557,2,Foodies,8/27/2021
63,1386,Alpha Innovations,Influencer,All Ages,30 days,Email,0.06,9613.00,3.61,New York,French,999,5612,8,Foodies,10/18/2021
64,1416,Alpha Innovations,Display,All Ages,15 days,Email,0.12,7188.00,4.16,Chicago,English,182,4644,3,Foodies,11/17/2021
65,1436,NexGen Systems,Influencer,All Ages,15 days,Facebook,0.06,19057.00,7.48,New York,English,115,1861,8,Foodies,12/7/2021
66,1503,NexGen Systems,Search,All Ages,45 days,YouTube,0.03,10066.00,3.6,Los Angeles,English,111,1740,4,Foodies,2/12/2021
67,1515,Innovate Industries,Display,All Ages,60 days,Website,0.11,5618.00,4.83,New York,French,738,6151,5,Foodies,2/24/2021
68,1518,NexGen Systems,Email,All Ages,15 days,Website,0.1,19932.00,4.38,Houston,German,730,8081,6,Foodies,2/27/2021
69,1561,Innovate Industries,Search,All Ages,60 days,YouTube,0.13,19860.00,4.71,Los Angeles,German,459,6322,1,Foodies,4/11/2021
70,1608,Alpha Innovations,Display,All Ages,45 days,Instagram,0.14,9834.00,6.49,Houston,Spanish,110,4512,8,Foodies,5/28/2021
71,1628,NexGen Systems,Influencer,All Ages,60 days,YouTube,0.15,19095.00,2.87,Miami,English,570,4991,9,Foodies,6/17/2021
72,1645,Innovate Industries,Search,All Ages,60 days,Email,0.1,14931.00,7.81,Los Angeles,English,431,4573,3,Foodies,7/4/2021
73,1689,Innovate Industries,Influencer,All Ages,45 days,YouTube,0.08,15619.00,4.97,Los Angeles,Spanish,622,5492,10,Foodies,8/17/2021
74,1701,Alpha Innovations,Search,All Ages,45 days,Email,0.12,14831.00,5.71,Miami,Mandarin,582,4369,2,Foodies,8/29/2021
75,1722,NexGen Systems,Display,All Ages,60 days,Email,0.15,17841.00,3.33,Houston,French,555,6823,1,Foodies,9/19/2021
76,1723,Alpha Innovations,Social Media,All Ages,30 days,Email,0.14,18962.00,4.27,Houston,Spanish,143,8625,1,Foodies,9/20/2021
77,1737,Innovate Industries,Social Media,All Ages,60 days,Email,0.05,14956.00,5.83,Los Angeles,French,738,9186,5,Foodies,10/4/2021
78,1768,NexGen Systems,Email,All Ages,30 days,Email,0.03,15939.00,2.43,Miami,Spanish,700,5268,10,Foodies,11/4/2021
79,1776,DataTech Solutions,Display,All Ages,30 days,YouTube,0.13,19179.00,3.38,New York,Mandarin,264,5401,10,Foodies,11/12/2021
80,1787,Alpha Innovations,Social Media,All Ages,45 days,Instagram,0.05,5099.00,6.22,Miami,French,909,5973,9,Foodies,11/23/2021
81,1842,TechCorp,Display,All Ages,15 days,Google Ads,0.1,12518.00,4.51,Miami,English,124,1642,9,Foodies,1/17/2021
82,1864,Innovate Industries,Display,All Ages,60 days,Instagram,0.06,19151.00,6.61,New York,French,664,2453,8,Foodies,2/8/2021
83,1917,DataTech Solutions,Display,All Ages,60 days,Email,0.13,18134.00,2.84,Miami,German,566,9921,10,Foodies,4/2/2021
84,1938,Innovate Industries,Influencer,All Ages,45 days,YouTube,0.06,17090.00,6.77,Houston,German,210,4641,10,Foodies,4/23/2021
85,1953,Alpha Innovations,Search,All Ages,60 days,Facebook,0.14,17637.00,7.39,Chicago,English,348,3031,8,Foodies,5/8/2021
86,1957,DataTech Solutions,Influencer,All Ages,45 days,Instagram,0.07,19015.00,3.88,Los Angeles,Mandarin,132,6775,6,Foodies,5/12/2021
87,1978,Innovate Industries,Email,All Ages,30 days,YouTube,0.02,11372.00,6.61,Los Angeles,Spanish,107,5432,9,Foodies,6/2/2021
88,2061,DataTech Solutions,Social Media,All Ages,45 days,Google Ads,0.11,5211.00,5.29,Chicago,German,870,5910,10,Foodies,8/24/2021
89,2117,Alpha Innovations,Social Media,All Ages,45 days,Facebook,0.03,17991.00,3.77,Los Angeles,French,358,4987,2,Foodies,10/19/2021
90,2176,NexGen Systems,Email,All Ages,15 days,YouTube,0.04,8654.00,5.47,New York,Mandarin,463,3253,2,Foodies,12/17/2021
91,2317,DataTech Solutions,Influencer,All Ages,45 days,Email,0.12,14807.00,3.58,New York,Mandarin,756,1655,9,Foodies,5/7/2021
92,2332,DataTech Solutions,Influencer,All Ages,60 days,Facebook,0.02,15554.00,6.71,Los Angeles,Spanish,232,7129,10,Foodies,5/22/2021
93,2354,Alpha Innovations,Search,All Ages,30 days,YouTube,0.14,19314.00,4.32,Miami,English,477,8715,2,Foodies,6/13/2021
94,2381,Innovate Industries,Social Media,All Ages,60 days,Website,0.1,13216.00,3.89,Miami,Mandarin,365,9899,1,Foodies,7/10/2021
95,2402,Innovate Industries,Social Media,All Ages,45 days,Instagram,0.03,7714.00,6.79,Los Angeles,French,142,6774,1,Foodies,7/31/2021
96,2442,NexGen Systems,Search,All Ages,45 days,Facebook,0.02,14633.00,2.3,Houston,Spanish,597,4928,7,Foodies,9/9/2021
97,2446,Innovate Industries,Social Media,All Ages,45 days,Instagram,0.06,9245.00,6.71,Houston,English,510,3622,7,Foodies,9/13/2021
98,2457,NexGen Systems,Social Media,All Ages,45 days,Instagram,0.02,16708.00,4.87,Chicago,German,763,5547,8,Foodies,9/24/2021
99,2465,TechCorp,Influencer,All Ages,30 days,Facebook,0.11,12911.00,2.88,Miami,German,785,6680,3,Foodies,10/2/2021
100,2469,DataTech Solutions,Social Media,All Ages,45 days,Facebook,0.1,18216.00,5.84,Miami,English,227,7082,9,Foodies,10/6/2021
101,2480,NexGen Systems,Influencer,All Ages,45 days,YouTube,0.1,9712.00,7.81,Chicago,German,561,4344,2,Foodies,10/17/2021
102,2487,Alpha Innovations,Email,All Ages,30 days,Facebook,0.13,16166.00,4,Los Angeles,English,664,3530,9,Foodies,10/24/2021
103,2504,NexGen Systems,Display,All Ages,15 days,Facebook,0.06,16012.00,5.7,Houston,French,319,1057,2,Foodies,11/10/2021
104,2534,Alpha Innovations,Search,All Ages,15 days,Website,0.09,15370.00,6.41,New York,Mandarin,194,9244,6,Foodies,12/10/2021
105,2549,DataTech Solutions,Influencer,All Ages,60 days,YouTube,0.11,5274.00,4.89,Houston,German,578,5464,4,Foodies,12/25/2021
106,2554,DataTech Solutions,Email,All Ages,30 days,Website,0.11,5969.00,5.85,New York,French,242,2653,9,Foodies,12/30/2021
107,2562,TechCorp,Display,All Ages,30 days,YouTube,0.08,6098.00,5.45,Los Angeles,Spanish,925,5747,8,Foodies,1/7/2021
108,2591,Alpha Innovations,Email,All Ages,15 days,Website,0.04,10529.00,2.79,Miami,Mandarin,306,5059,3,Foodies,2/5/2021
109,2598,NexGen Systems,Search,All Ages,15 days,Google Ads,0.1,19489.00,5.44,New York,German,438,8609,5,Foodies,2/12/2021
110,2624,Alpha Innovations,Email,All Ages,60 days,Google Ads,0.06,12568.00,4.02,Los Angeles,French,381,7105,4,Foodies,3/10/2021
111,2663,Innovate Industries,Email,All Ages,30 days,Email,0.07,19931.00,5.13,Houston,Spanish,860,7231,8,Foodies,4/18/2021
112,2681,NexGen Systems,Social Media,All Ages,45 days,Email,0.07,12436.00,5.61,Miami,German,578,4382,7,Foodies,5/6/2021
113,2688,TechCorp,Email,All Ages,60 days,Website,0.14,8016.00,2.06,Houston,German,299,6329,5,Foodies,5/13/2021
114,2696,TechCorp,Influencer,All Ages,30 days,Facebook,0.11,13609.00,4.15,Chicago,French,497,3216,4,Foodies,5/21/2021
115,2699,DataTech Solutions,Influencer,All Ages,60 days,Email,0.11,12889.00,3.66,Houston,Spanish,200,4747,3,Foodies,5/24/2021
116,2756,Innovate Industries,Search,All Ages,60 days,Facebook,0.03,13896.00,3.08,Chicago,Mandarin,438,9102,1,Foodies,7/20/2021
117,2773,TechCorp,Social Media,All Ages,60 days,Email,0.09,17267.00,2.89,Chicago,Mandarin,375,1186,4,Foodies,8/6/2021
118,2790,Innovate Industries,Influencer,All Ages,45 days,Email,0.09,13902.00,2.98,Los Angeles,French,235,6585,5,Foodies,8/23/2021
119,2796,TechCorp,Search,All Ages,45 days,Website,0.04,12538.00,4.81,Chicago,English,801,3340,2,Foodies,8/29/2021
120,2844,NexGen Systems,Display,All Ages,15 days,Website,0.01,9447.00,6.62,Miami,Spanish,873,9058,8,Foodies,10/16/2021
121,2889,DataTech Solutions,Social Media,All Ages,60 days,YouTube,0.15,5820.00,6.22,Miami,Spanish,832,5968,9,Foodies,11/30/2021
122,2905,Innovate Industries,Social Media,All Ages,45 days,Instagram,0.13,12750.00,2.92,Miami,English,451,4790,7,Foodies,12/16/2021
123,2912,TechCorp,Email,All Ages,30 days,Google Ads,0.15,6892.00,2.28,Miami,English,842,4958,1,Foodies,12/23/2021
124,3049,NexGen Systems,Search,All Ages,30 days,Email,0.14,12472.00,6.28,Chicago,Mandarin,277,5946,8,Foodies,5/9/2021
125,3053,Alpha Innovations,Search,All Ages,60 days,Email,0.11,15424.00,3.27,New York,French,795,4545,9,Foodies,5/13/2021
126,3070,Alpha Innovations,Email,All Ages,45 days,YouTube,0.09,6394.00,2.07,Chicago,Mandarin,855,5399,3,Foodies,5/30/2021
127,3075,Alpha Innovations,Search,All Ages,15 days,Facebook,0.05,10245.00,4.59,Chicago,French,326,7144,2,Foodies,6/4/2021
128,3077,NexGen Systems,Influencer,All Ages,45 days,Facebook,0.02,16578.00,3.62,Los Angeles,German,166,8460,1,Foodies,6/6/2021
129,3090,DataTech Solutions,Display,All Ages,45 days,Google Ads,0.11,5379.00,5.05,New York,French,157,7462,6,Foodies,6/19/2021
130,3103,Alpha Innovations,Display,All Ages,15 days,Facebook,0.13,5055.00,2.17,New York,Mandarin,912,6850,8,Foodies,7/2/2021
131,3169,TechCorp,Search,All Ages,60 days,Instagram,0.1,11192.00,6.72,Los Angeles,French,494,9635,4,Foodies,9/6/2021
132,3173,DataTech Solutions,Display,All Ages,30 days,Instagram,0.03,11172.00,4.05,New York,Spanish,477,8325,10,Foodies,9/10/2021
133,3180,NexGen Systems,Social Media,All Ages,45 days,YouTube,0.06,5152.00,2.54,Miami,English,374,1155,5,Foodies,9/17/2021
134,3185,Alpha Innovations,Influencer,All Ages,15 days,Facebook,0.04,7672.00,7.73,Los Angeles,French,584,8653,7,Foodies,9/22/2021
135,3233,Alpha Innovations,Search,All Ages,15 days,Email,0.12,17518.00,6.05,Los Angeles,German,485,3002,8,Foodies,11/9/2021
136,3267,DataTech Solutions,Influencer,All Ages,60 days,Email,0.11,14835.00,5.22,Miami,French,833,5630,7,Foodies,12/13/2021
137,3283,Alpha Innovations,Influencer,All Ages,15 days,Facebook,0.01,11474.00,3.4,Los Angeles,Mandarin,744,2284,9,Foodies,12/29/2021
138,3338,Innovate Industries,Display,All Ages,45 days,YouTube,0.07,14002.00,2.63,New York,Spanish,511,5014,8,Foodies,2/22/2021
139,3342,TechCorp,Influencer,All Ages,15 days,Website,0.01,9606.00,2.32,Los Angeles,German,426,9031,7,Foodies,2/26/2021
140,3345,Alpha Innovations,Social Media,All Ages,15 days,Email,0.07,7970.00,3.73,Houston,German,743,4846,8,Foodies,3/1/2021
141,3352,Alpha Innovations,Email,All Ages,30 days,Google Ads,0.09,19486.00,6.73,Chicago,German,343,2130,4,Foodies,3/8/2021
142,3366,Innovate Industries,Influencer,All Ages,45 days,Google Ads,0.04,10474.00,5.46,Los Angeles,English,713,9379,7,Foodies,3/22/2021
143,3414,TechCorp,Social Media,All Ages,15 days,Instagram,0.09,9139.00,6.73,Chicago,Mandarin,497,3182,4,Foodies,5/9/2021
144,3416,Innovate Industries,Social Media,All Ages,60 days,Facebook,0.09,13120.00,6.65,Chicago,Mandarin,584,8917,1,Foodies,5/11/2021
145,3421,Innovate Industries,Search,All Ages,45 days,Google Ads,0.15,17242.00,6.85,Miami,English,365,7393,4,Foodies,5/16/2021
146,3431,Innovate Industries,Social Media,All Ages,30 days,YouTube,0.04,13880.00,4.4,Chicago,German,964,1912,1,Foodies,5/26/2021
147,3447,NexGen Systems,Display,All Ages,30 days,Website,0.12,12804.00,3.3,Miami,Mandarin,394,5195,2,Foodies,6/11/2021
148,3497,Alpha Innovations,Email,All Ages,45 days,Email,0.02,7083.00,2.46,Chicago,Mandarin,864,6767,6,Foodies,7/31/2021
149,3532,TechCorp,Display,All Ages,30 days,Email,0.11,16827.00,4.77,Los Angeles,English,310,1968,2,Foodies,9/4/2021
150,3593,NexGen Systems,Search,All Ages,45 days,Website,0.08,19777.00,4.6,New York,English,847,8495,5,Foodies,11/4/2021
151,3594,Alpha Innovations,Display,All Ages,45 days,Website,0.07,19286.00,5.07,New York,English,578,3386,6,Foodies,11/5/2021
152,3664,Innovate Industries,Social Media,All Ages,15 days,Facebook,0.03,14117.00,4.7,Chicago,German,954,7267,5,Foodies,1/14/2021
153,3720,TechCorp,Influencer,All Ages,30 days,Instagram,0.14,6962.00,2.08,Miami,English,356,9913,1,Foodies,3/11/2021
154,3733,TechCorp,Search,All Ages,15 days,Facebook,0.11,11446.00,3.82,Los Angeles,English,641,5705,5,Foodies,3/24/2021
155,3750,NexGen Systems,Display,All Ages,45 days,Instagram,0.14,18815.00,5.24,Miami,Spanish,244,8541,4,Foodies,4/10/2021
156,3766,NexGen Systems,Email,All Ages,15 days,Instagram,0.11,7280.00,3.82,Los Angeles,Mandarin,650,9150,8,Foodies,4/26/2021
157,3773,DataTech Solutions,Email,All Ages,45 days,Instagram,0.13,7674.00,3.17,Los Angeles,English,721,6344,8,Foodies,5/3/2021
158,3787,Alpha Innovations,Email,All Ages,45 days,Facebook,0.02,15875.00,3.31,Houston,English,890,7703,1,Foodies,5/17/2021
159,3833,TechCorp,Email,All Ages,45 days,YouTube,0.14,15135.00,4.01,New York,English,428,2957,8,Foodies,7/2/2021
160,3949,Alpha Innovations,Display,All Ages,45 days,Google Ads,0.05,10989.00,6.12,Los Angeles,Mandarin,731,9895,5,Foodies,10/26/2021
161,3969,Alpha Innovations,Social Media,All Ages,45 days,YouTube,0.01,7665.00,6.29,New York,Mandarin,960,6347,3,Foodies,11/15/2021
162,3996,Alpha Innovations,Search,All Ages,30 days,Website,0.07,5867.00,3.61,New York,French,199,5117,8,Foodies,12/12/2021
163,4033,Alpha Innovations,Display,All Ages,45 days,Google Ads,0.12,15459.00,7.76,New York,German,140,9739,1,Foodies,1/18/2021
164,4036,DataTech Solutions,Email,All Ages,30 days,Website,0.14,7408.00,3.14,Los Angeles,German,603,6185,6,Foodies,1/21/2021
165,4090,Alpha Innovations,Search,All Ages,45 days,Instagram,0.07,10004.00,2.98,Chicago,Spanish,671,9978,9,Foodies,3/16/2021
166,4133,Innovate Industries,Email,All Ages,45 days,Instagram,0.05,7747.00,7.14,New York,Spanish,623,1388,9,Foodies,4/28/2021
167,4156,Alpha Innovations,Influencer,All Ages,15 days,YouTube,0.07,13356.00,3.27,Chicago,French,235,1947,10,Foodies,5/21/2021
168,4188,Innovate Industries,Display,All Ages,30 days,Facebook,0.08,15125.00,2.48,Houston,German,169,4112,4,Foodies,6/22/2021
169,4230,DataTech Solutions,Email,All Ages,45 days,Email,0.08,16807.00,7.49,Chicago,French,290,9901,5,Foodies,8/3/2021
170,4231,TechCorp,Search,All Ages,60 days,YouTube,0.14,13139.00,4.45,Miami,French,560,6852,5,Foodies,8/4/2021
171,4279,TechCorp,Email,All Ages,45 days,Google Ads,0.07,5118.00,3.71,Los Angeles,English,114,9480,2,Foodies,9/21/2021
172,4291,TechCorp,Email,All Ages,45 days,Website,0.01,9324.00,4.26,Miami,French,492,8848,1,Foodies,10/3/2021
173,4317,TechCorp,Social Media,All Ages,45 days,Facebook,0.07,7710.00,4.66,New York,English,844,4515,1,Foodies,10/29/2021
174,4331,Innovate Industries,Email,All Ages,15 days,Instagram,0.11,12780.00,2.08,Chicago,German,526,6753,1,Foodies,11/12/2021
175,4342,DataTech Solutions,Social Media,All Ages,30 days,Website,0.08,18327.00,7.26,New York,English,264,6350,4,Foodies,11/23/2021
176,4353,Innovate Industries,Influencer,All Ages,60 days,Instagram,0.14,7696.00,5.6,New York,Spanish,965,6424,5,Foodies,12/4/2021
177,4391,Innovate Industries,Display,All Ages,60 days,YouTube,0.04,19846.00,4.07,Houston,German,759,9057,3,Foodies,1/11/2021
178,4535,NexGen Systems,Search,All Ages,30 days,Email,0.01,11112.00,3.62,New York,Mandarin,775,4511,7,Foodies,6/4/2021
179,4550,Innovate Industries,Email,All Ages,15 days,Instagram,0.08,6534.00,7.78,Miami,Spanish,667,3937,9,Foodies,6/19/2021
180,4559,DataTech Solutions,Search,All Ages,30 days,Google Ads,0.13,19546.00,3.59,Los Angeles,Mandarin,529,1877,10,Foodies,6/28/2021
181,4572,DataTech Solutions,Email,All Ages,60 days,Email,0.04,10964.00,3.54,Los Angeles,Mandarin,590,5954,4,Foodies,7/11/2021
182,4604,DataTech Solutions,Email,All Ages,30 days,Google Ads,0.09,10804.00,5.3,New York,Mandarin,356,8770,1,Foodies,8/12/2021
183,4625,TechCorp,Display,All Ages,60 days,Email,0.13,12729.00,7.67,New York,Spanish,111,1467,4,Foodies,9/2/2021
184,4636,Alpha Innovations,Search,All Ages,60 days,Instagram,0.05,8423.00,5.62,Los Angeles,Mandarin,152,1769,7,Foodies,9/13/2021
185,4659,TechCorp,Display,All Ages,30 days,Google Ads,0.12,18019.00,7.45,Houston,Spanish,217,5326,7,Foodies,10/6/2021
186,4683,NexGen Systems,Influencer,All Ages,30 days,Email,0.08,12071.00,4.51,Miami,Mandarin,117,7702,10,Foodies,10/30/2021
187,4686,DataTech Solutions,Search,All Ages,15 days,Email,0.07,18502.00,4.89,New York,Spanish,221,4428,6,Foodies,11/2/2021
188,4695,NexGen Systems,Search,All Ages,15 days,YouTube,0.02,18069.00,6.58,Miami,French,809,1640,2,Foodies,11/11/2021
189,4711,Alpha Innovations,Influencer,All Ages,45 days,Website,0.06,13343.00,2.14,Chicago,English,294,1875,9,Foodies,11/27/2021
190,4741,DataTech Solutions,Email,All Ages,60 days,Google Ads,0.01,6018.00,5.75,Miami,French,925,4704,1,Foodies,12/27/2021
191,4813,NexGen Systems,Social Media,All Ages,60 days,Facebook,0.11,11992.00,7.6,Miami,German,800,2127,2,Foodies,3/9/2021
192,4862,NexGen Systems,Social Media,All Ages,30 days,YouTube,0.12,5054.00,3.9,Houston,French,237,4676,3,Foodies,4/27/2021
193,4912,Innovate Industries,Social Media,All Ages,45 days,Google Ads,0.11,5002.00,4.7,Chicago,Spanish,570,8222,9,Foodies,6/16/2021
194,4958,DataTech Solutions,Email,All Ages,30 days,Google Ads,0.14,11115.00,4.63,Los Angeles,English,443,7874,5,Foodies,8/1/2021
195,4995,TechCorp,Email,All Ages,45 days,Website,0.05,10886.00,3.13,Miami,Spanish,476,2570,6,Foodies,9/7/2021
